"repo_name","repo_id","doi","doi_url","doi_source","checked_at"
"IPBES_TFC_Ch5_Inventory-Options",662501031,"","","none","2026-03-24T10:49:06Z"
"IPBES_TCA_Ch3_snowball-search",665165354,"10.5281/zenodo.10218647","https://doi.org/10.5281/zenodo.10218647","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_TFC_Ch3_societal-transformation",668357284,"","","none","2026-03-24T10:49:06Z"
"IPBES_TCA_Corpus",687555772,"10.5281/zenodo.10251349","https://doi.org/10.5281/zenodo.10251349","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_BBA_Ch4_Snowball_Pilot_1",695238323,"","","none","2026-03-24T10:49:06Z"
"IPBES.R",696743050,"","","none","2026-03-24T10:49:06Z"
"IPBES_xxx_Chy_project_template",696810069,"","","none","2026-03-24T10:49:06Z"
".github",697150709,"","","none","2026-03-24T10:49:06Z"
"IPBES-Data.r-universe.dev",697181528,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_Snowballing",706159588,"10.5281/zenodo.10257156","https://doi.org/10.5281/zenodo.10257156","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_BBA_Ch2_Snowball",706627950,"","","none","2026-03-24T10:49:06Z"
"IPBES_WP_OpenAlex",715149873,"10.5281/zenodo.19001084","https://doi.org/10.5281/zenodo.19001084","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_tsu_zenodo",717117139,"","","none","2026-03-24T10:49:06Z"
"IPBES_BBA_Ch4_Snowball_Pilot_2",718122061,"","","none","2026-03-24T10:49:06Z"
"IPBES_BBA_Ch6_IPLC_literature",733096223,"","","none","2026-03-24T10:49:06Z"
"IPBES_Ontology",733459348,"","","none","2026-03-24T10:49:06Z"
"IPBES-Data.github.io",734703216,"","","none","2026-03-24T10:49:06Z"
"OpenAlex_Introduction",743120283,"10.5281/zenodo.11120633","https://doi.org/10.5281/zenodo.11120633","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_TCA_ch2_visions",748271065,"","","none","2026-03-24T10:49:06Z"
"IPBES.LiteratureReport",749687446,"","","none","2026-03-24T10:49:06Z"
"IPBES_Data_Indicators",751839337,"10.5281/zenodo.7738965","https://doi.org/10.5281/zenodo.7738965","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_TCA_Ch3_clusters",764122368,"","","none","2026-03-24T10:49:06Z"
"IPBES_TCA_Ch5_subsidies_reform",764554996,"","","none","2026-03-24T10:49:06Z"
"IPBES_TCA_Ch2_technology",765613427,"","","none","2026-03-24T10:49:06Z"
"IPBES_TCA_Ch5_inventorying_options",765641389,"","","none","2026-03-24T10:49:06Z"
"IPBES_BBA_Ch6_critical_approach_finance",766917250,"","","none","2026-03-24T10:49:06Z"
"IPBES_TCA_ch5_ejatlas",777837338,"10.5281/zenodo.15005038","https://doi.org/10.5281/zenodo.15005038","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_LOD",785337618,"","","none","2026-03-24T10:49:06Z"
"IPBES_TCA_ch1",788407024,"","","none","2026-03-24T10:49:06Z"
"IPBES_Knowledge_Discovery",824013591,"","","none","2026-03-24T10:49:06Z"
"AI_tries",849929074,"","","none","2026-03-24T10:49:06Z"
"indiGO",858783077,"10.1234/zenodo.1234567","https://doi.org/10.1234/zenodo.1234567","legacy_cache","2026-03-24T08:36:04Z"
"indiGO_Tutorials",860508796,"10.5281/zenodo.3831673","https://doi.org/10.5281/zenodo.3831673","legacy_cache","2026-03-24T08:36:04Z"
"IPBES_MTA_Snowball",937450061,"","","none","2026-03-24T10:49:06Z"
"IPBES_guide_assessment_production",978865728,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_Directory",1054736102,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_mapping_regions",1055045122,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_OoW_File_Naming",1055045179,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_ilk",1055045242,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_cartographic_guidelines",1055045289,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_zenodo",1055045353,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_contributing_authors",1055045414,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_colour",1055045468,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_figures",1055045532,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_indicators",1055045587,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_robinson_projection",1055045651,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_OoW_Experts_Lists",1055045702,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_file_formats",1055045772,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_OoW_Versioning",1055045834,"","","none","2026-03-24T10:49:06Z"
"IPBES_TG_TEMPLATE",1057246740,"","","none","2026-03-24T10:49:06Z"
"IPBES_SPC_Corpus",1080638624,"","","none","2026-03-24T10:49:06Z"
"IPBES_Glossary_ipbes_ipcc",1168484355,"10.5281/zenodo.19181890","https://doi.org/10.5281/zenodo.19181890","readme_zenodo_badge","2026-03-24T10:31:07Z"
